,i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize,Rural,total,under_4,frac_under_4,under_9,frac_under_9
1120,1121,2000,Central,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1.609437912,0,5,1,0.2,2,0.4
1121,1122,2000,Central,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.098612289,0,3,0,0.0,1,0.3333333333333333
1122,1123,2000,Central,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1.609437912,0,5,0,0.0,2,0.4
1123,1124,2000,Central,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361,0,4,2,0.5,2,0.5
1124,1125,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,1,0,0.0,0,0.0
1125,1126,2000,Central,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1.609437912,0,5,1,0.2,2,0.4
1126,1127,2000,Central,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361,0,4,2,0.5,2,0.5
1127,1128,2000,Central,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1.609437912,0,5,2,0.4,3,0.6
1128,1129,2000,Central,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289,0,3,1,0.3333333333333333,1,0.3333333333333333
1129,1130,2000,Central,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1.609437912,0,5,2,0.4,3,0.6
1147,1148,2000,Central,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1.609437912,0,5,0,0.0,1,0.2
1148,1149,2000,Central,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6931471806,0,2,0,0.0,0,0.0
1149,1150,2000,Central,0,0,0,0,0,0,0,1,2,1,0,1,1,0,1.791759469,0,6,0,0.0,0,0.0
1150,1151,2000,Central,0,0,0,1,1,1,2,0,1,0,1,1,0,0,2.079441542,0,8,0,0.0,1,0.125
1151,1152,2000,Central,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1.609437912,0,5,1,0.2,3,0.6
1152,1153,2000,Central,1,0,1,0,0,2,1,0,0,0,1,1,0,0,1.945910149,0,7,1,0.14285714285714285,2,0.2857142857142857
1153,1154,2000,Central,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1.098612289,0,3,1,0.3333333333333333,1,0.3333333333333333
1154,1155,2000,Central,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1.098612289,0,3,1,0.3333333333333333,1,0.3333333333333333
1155,1156,2000,Central,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1.386294361,0,4,0,0.0,0,0.0
1156,1157,2000,Central,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806,0,2,0,0.0,0,0.0
1157,1158,2000,Central,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1.098612289,0,3,0,0.0,0,0.0
