i,t,m,Avocado,Bananas,Beans,Beef,Beef Entrails,Beer,Beets,Bread (french),Bread (sliced),Bread (sweet),Brown Sugar,Butter,Cabbages,Cakes,Candies,Carrots,Celery,Chayote,Chicken,Chicken Giblets,Chilies,Chocolate,Cigarettes,Coffee (instant),Cookies,Cooking Oil,Corn Atole,Corn Dough (fresh(,Corn Flakes,Corn Tamales,Cornmeal,Crema Fresca,Cucumbers,Dried Fruit,Dried Seeds,Eggs,Fish (Canned),Fish (Fresh),Garlic,Granulated Sugar,Herbs,"Honey, Molasses",Ice Cream,Incaparina,Infant Formula,Jam,Juice (Branded),Juices (Packaged),Lard,Leafcutter Ants and Other Insect,Lemons,Lettuce,Liquor,Maize,Mangos,Margarine,Melons,Milk,Milk (condensed),Milk (powdered),Mineral Water,Mushrooms,Onions,Oranges,Other,Other Atoles,Other Canned Goods,Other Sauces,Paches,Papaya,Pasta,Peas,Pineapples,Pork,Pork (cracklings),Potatoes,Pumpkin,Queso,Rice,Rolled Oats,Rural,Salt,Sausages,Soup,Spices,Sweets,Tea,Tomato Sauce,Tomatoes,Tortillas,Tostadas,Vegetable Oil,Water (bottle),Watermelon,Wheat Flour,Yogurt,Yucca
5785,2000,Peten,3.4011973816621555,2.995732273553991,2.772588722239781,3.871201010907891,,,,3.912023005428146,,4.605170185988092,,,,1.6094379124341003,1.9459101490553132,,1.6094379124341003,,3.2188758248682006,1.0986122886681098,,,,2.5649493574615367,,3.1354942159291497,,,,2.995732273553991,2.0149030205422647,2.302585092994046,,,2.5257286443082556,1.791759469228055,,,1.0986122886681098,3.1135153092103742,1.6094379124341003,,,,,,,,,,1.6094379124341003,,,,,1.6094379124341003,,,,,3.624340932976365,,0.6931471805599453,,,,,,,,1.3862943611198906,,2.0794415416798357,,2.302585092994046,1.0986122886681098,,1.9459101490553132,2.8622008809294686,,0.0,1.6094379124341003,2.772588722239781,1.3862943611198906,,2.302585092994046,,,2.0794415416798357,4.653960350157523,,,,,,,
5786,2000,Peten,,3.1780538303479458,2.302585092994046,5.19295685089021,,,,,,1.6094379124341003,,,,,,1.791759469228055,1.791759469228055,1.3862943611198906,3.7376696182833684,,,,,3.5553480614894135,,,,2.803360380906535,3.1780538303479458,2.995732273553991,,2.8903717578961645,1.3862943611198906,,3.1354942159291497,2.1972245773362196,,,,,,,,,,,,,,,,,,2.9856818993166505,,1.6094379124341003,2.0794415416798357,,,,3.4011973816621555,,1.0986122886681098,,,,2.995732273553991,,,,,,0.9162907318741551,4.564348191467836,2.5257286443082556,2.0149030205422647,,2.0794415416798357,1.6094379124341003,2.995732273553991,0.0,,,1.9740809994942317,1.791759469228055,2.70805020110221,,,2.70805020110221,,2.0149030205422647,,,,,,0.0
5787,2000,Peten,1.3862943611198906,3.258096538021482,1.3862943611198906,4.0943445622221,,,,1.6094379124341003,,1.6094379124341003,,,1.6094379124341003,,,1.6094379124341003,,1.6094379124341003,4.0943445622221,,0.9162907318741551,,,3.5553480614894135,,3.58351893845611,,,,3.1780538303479458,,1.791759469228055,,,3.2188758248682006,2.5649493574615367,,,,3.7784916128036232,1.0986122886681098,,,,,,,,,,,,,,,1.6094379124341003,,,,4.0943445622221,3.4011973816621555,,1.6094379124341003,1.0986122886681098,,,,,,1.6094379124341003,,,2.0794415416798357,,,1.791759469228055,,2.4849066497880004,1.5040773967762742,,0.0,0.6931471805599453,3.2188758248682006,,,2.70805020110221,,2.995732273553991,1.6094379124341003,4.31748811353631,2.70805020110221,,,,,,
5788,2000,Peten,3.8066624897703196,3.1780538303479458,2.302585092994046,4.30406509320417,2.302585092994046,,1.3862943611198906,3.8066624897703196,,3.8066624897703196,,,1.5040773967762742,1.6094379124341003,,1.5040773967762742,,1.791759469228055,3.091042453358316,2.0794415416798357,,,,,2.302585092994046,3.58351893845611,0.6931471805599453,,,,,2.4849066497880004,1.3862943611198906,,,1.9095425048844386,,,,3.912023005428146,,,,,,,,2.6390573296152584,,,2.70805020110221,,,,,,,,,3.58351893845611,3.912023005428146,,1.3862943611198906,0.6931471805599453,,0.9162907318741551,,,,2.302585092994046,2.302585092994046,,2.6390573296152584,,,2.302585092994046,,1.9459101490553132,1.3862943611198906,1.7047480922384253,0.0,,,,,2.0149030205422647,,,2.70805020110221,4.787491742782046,2.0149030205422647,,2.0149030205422647,,,,
5789,2000,Peten,1.3083328326231516,2.6390573296152584,2.0149030205422647,3.4011973816621555,,,1.0986122886681098,3.4011973816621555,,3.4011973816621555,,,1.6094379124341003,,,,1.6094379124341003,,2.70805020110221,,,,,2.995732273553991,,,,,3.1780538303479458,2.8903717578961645,,3.044522437723423,,,,2.70805020110221,,,,,,,,,,,,,,,,1.3862943611198906,,,,2.169053700369523,,,,,2.995732273553991,,1.0986122886681098,,,,,,,,,,1.6094379124341003,,,0.9162907318741551,,,0.9162907318741551,,0.0,0.0,2.8903717578961645,1.791759469228055,,,,,2.3513752571634776,4.412798293340635,0.9162907318741551,,,2.302585092994046,2.302585092994046,,
5790,2000,Peten,2.5257286443082556,3.7727609380946383,1.3862943611198906,3.332204510175204,,,2.302585092994046,1.6094379124341003,2.0794415416798357,2.0794415416798357,,,1.6094379124341003,,,,,,1.9459101490553132,1.6094379124341003,,,,,,3.6888794541139363,,,,,,,,,,2.4849066497880004,2.0794415416798357,,,3.1780538303479458,1.6094379124341003,,,,,,,1.791759469228055,,,,,,,,1.6094379124341003,,,,,2.302585092994046,2.302585092994046,1.791759469228055,,,,,,,,2.70805020110221,0.9162907318741551,1.6094379124341003,,,0.6931471805599453,0.9162907318741551,,1.791759469228055,,0.0,,1.6094379124341003,2.3513752571634776,,1.0986122886681098,,2.0794415416798357,3.6888794541139363,4.499809670330265,,,,2.302585092994046,,,
5791,2000,Peten,,3.091042453358316,3.4011973816621555,4.68213122712422,,4.605170185988092,0.4054651081081644,2.302585092994046,,1.6094379124341003,,,,,2.0794415416798357,0.0,,0.22314355131420976,2.995732273553991,,,,,3.7376696182833684,,3.332204510175204,,4.59511985013459,,,1.6094379124341003,1.791759469228055,,,,1.9740809994942317,,,,2.6026896854443837,,,,3.1780538303479458,,,,2.6390573296152584,,,,,3.4011973816621555,,,,,,,,1.0986122886681098,,1.0986122886681098,,,,,,,,,,,,,1.3862943611198906,,,3.1780538303479458,,0.0,1.0986122886681098,,2.4849066497880004,,2.70805020110221,,,1.791759469228055,,1.6094379124341003,,,,,,
5792,2000,Peten,2.8903717578961645,2.302585092994046,1.6094379124341003,4.1588830833596715,,,1.0986122886681098,,2.772588722239781,4.31748811353631,,,,,,0.9162907318741551,0.6931471805599453,1.3862943611198906,3.8066624897703196,,,2.4849066497880004,,2.995732273553991,,,,4.579852378003801,,2.772588722239781,,2.8622008809294686,,,,2.821378841171117,,,,2.8903717578961645,1.6094379124341003,,,,,,2.70805020110221,,,,1.6094379124341003,,,,,1.5040773967762742,,,2.70805020110221,3.9512437185814275,2.70805020110221,,0.9162907318741551,,,,,,,,0.9162907318741551,,,,,1.6094379124341003,,1.9459101490553132,1.6094379124341003,,0.0,0.6931471805599453,3.091042453358316,,,,,,1.791759469228055,,1.6094379124341003,,,2.995732273553991,,,
5793,2000,Peten,,3.091042453358316,1.3862943611198906,3.258096538021482,,,,1.0986122886681098,,3.58351893845611,,,,,,0.9162907318741551,,,2.4203681286504293,,,,,3.4011973816621555,,,,,2.6026896854443837,2.995732273553991,,1.9459101490553132,,,,,,,,,,,,,,,2.1400661634962708,,,,,,,,,,,,,2.5257286443082556,3.4011973816621555,,1.6094379124341003,,,,2.70805020110221,,,,0.9162907318741551,,,,,1.3862943611198906,,,0.0,,0.0,,,,,,,1.7047480922384253,2.302585092994046,4.31748811353631,1.9459101490553132,,,,,,
5794,2000,Peten,,2.0794415416798357,3.1780538303479458,,,,,2.995732273553991,,4.31748811353631,,,1.791759469228055,,1.9459101490553132,,,2.1972245773362196,2.995732273553991,,,,,,,4.0943445622221,,,,2.70805020110221,,3.4657359027997265,0.6931471805599453,,,4.564348191467836,,,0.6931471805599453,3.7376696182833684,1.0986122886681098,,,,,,,,,,1.6094379124341003,1.791759469228055,,3.58351893845611,,1.6094379124341003,,4.0943445622221,,2.4849066497880004,3.2188758248682006,,2.70805020110221,1.0986122886681098,,,,,,,,0.6931471805599453,,,,1.791759469228055,,3.044522437723423,3.2188758248682006,,0.0,0.0,3.4011973816621555,2.8903717578961645,,3.1135153092103742,,,2.70805020110221,,1.791759469228055,,,,,,
5795,2000,Peten,,2.302585092994046,1.8640801011952777,,,,,1.0986122886681098,,-0.2876820724517809,,,,,,,,,2.4849066497880004,,,,,,,2.302585092994046,,,,0.6931471805599453,,,0.0,,,1.0986122886681098,,,,2.70805020110221,,,,,,,,,,,0.6931471805599453,,,,,1.1474024829962715,,1.791759469228055,,,2.5257286443082556,,1.0986122886681098,1.3217558399823195,,,,,,2.0794415416798357,,,,,2.995732273553991,0.6931471805599453,,,0.6931471805599453,,0.0,,,,,0.9162907318741551,,,0.6931471805599453,1.9459101490553132,0.0,,,,,,
5796,2000,Peten,1.6094379124341003,,3.2188758248682006,3.871201010907891,,,,,,0.6931471805599453,,,1.9810014688665833,,,,,2.302585092994046,,,,,,,,,,,,,,1.252762968495368,0.6931471805599453,,,1.9740809994942317,,,,2.995732273553991,1.6094379124341003,,,,,,,,,,,,,,,1.3217558399823195,,,,,,,1.3862943611198906,,,,,,,,2.70805020110221,,,,,2.0794415416798357,,1.6094379124341003,2.5257286443082556,,0.0,0.6931471805599453,,0.0,,2.302585092994046,,,1.791759469228055,,,,,,,,
5797,2000,Peten,2.70805020110221,1.3862943611198906,2.995732273553991,,,,,3.4011973816621555,,3.4657359027997265,,,,,,,,,,,,,,2.1972245773362196,,2.8903717578961645,,,,,,,,,,3.1780538303479458,,,1.3862943611198906,2.995732273553991,,,,2.1972245773362196,,,,,,,,,,4.129711703646264,,2.5257286443082556,,,,,1.6094379124341003,,-0.2876820724517809,,,,,,,,3.4011973816621555,,,,,,,,3.1135153092103742,,0.0,,,1.791759469228055,,,,,1.791759469228055,,0.6931471805599453,,,,,,
5798,2000,Peten,,2.302585092994046,1.791759469228055,4.564348191467836,,4.0943445622221,,2.302585092994046,,2.70805020110221,,,,,,,0.4054651081081644,,2.4849066497880004,,,,,,,2.995732273553991,,,,,,2.302585092994046,,,,,,,,2.9626924391140337,,,3.2188758248682006,,4.605170185988092,,,,,,,,,,,,,,,,2.70805020110221,,,,,,,,,,3.2188758248682006,,,,,1.3862943611198906,,2.70805020110221,2.4203681286504293,,0.0,0.6931471805599453,,2.302585092994046,2.0794415416798357,3.2188758248682006,,,1.3862943611198906,3.8066624897703196,,,,,,,
5839,2000,Peten,2.4849066497880004,2.772588722239781,2.1972245773362196,4.564348191467836,,,,0.6931471805599453,1.9459101490553132,3.8066624897703196,,,,,,,0.4054651081081644,,4.0943445622221,,0.6931471805599453,,,2.8903717578961645,1.6094379124341003,,,,3.044522437723423,,,1.9459101490553132,,,,2.821378841171117,,3.4011973816621555,0.4054651081081644,1.791759469228055,,,,,,,1.791759469228055,2.6390573296152584,,,1.0986122886681098,1.3862943611198906,,,,0.9162907318741551,,,,3.295836866004329,3.4011973816621555,,1.252762968495368,,,,,,,,1.6094379124341003,,,,,3.8066624897703196,,1.6094379124341003,1.252762968495368,,0.0,,2.1972245773362196,2.0149030205422647,,2.302585092994046,,2.772588722239781,2.4849066497880004,3.4011973816621555,,,3.6888794541139363,,,,
5840,2000,Peten,,1.791759469228055,2.302585092994046,,,,,,,,,,,,,,0.4054651081081644,,,,,,,1.9459101490553132,-0.6931471805599453,,,,,,,,,,,1.5040773967762742,,,,2.0794415416798357,,,,,,,0.9162907318741551,1.791759469228055,,,,,,,,,,,,,1.0986122886681098,,0.530628279297464,0.4054651081081644,,,,,,,,,1.6094379124341003,2.4849066497880004,,,,,,,0.0,1.0986122886681098,,1.0986122886681098,0.6931471805599453,0.4054651081081644,,,2.0149030205422647,,,,,,,,
5841,2000,Peten,1.6094379124341003,1.3862943611198906,2.6390573296152584,3.6888794541139363,,,,,,3.8066624897703196,,,1.6094379124341003,,,,,1.0986122886681098,2.5649493574615367,,0.6931471805599453,,,2.5649493574615367,0.18232159679395377,,,,,,,1.252762968495368,,,,2.3795461517227663,,,,4.0943445622221,0.6931471805599453,,0.6931471805599453,,,,1.6094379124341003,,1.791759469228055,,,,,5.123963979403259,,1.3217558399823195,,,,,2.1972245773362196,,1.252762968495368,0.6931471805599453,,,,,,,1.6094379124341003,,1.6094379124341003,2.302585092994046,2.1972245773362196,0.6931471805599453,,,2.302585092994046,,0.0,0.6931471805599453,,2.0794415416798357,2.0794415416798357,2.0149030205422647,,,2.0794415416798357,,,,2.995732273553991,,0.6931471805599453,,
5842,2000,Peten,,1.3862943611198906,2.4849066497880004,4.605170185988092,,,,3.4011973816621555,,3.8066624897703196,,,,,1.6094379124341003,1.6094379124341003,1.3862943611198906,,3.091042453358316,,,1.5040773967762742,,2.70805020110221,1.6094379124341003,2.0794415416798357,,,,,,,1.3862943611198906,,,1.5040773967762742,,,0.8109302162163288,3.4011973816621555,,1.6094379124341003,,1.5040773967762742,,,,,,,,,,,,,,,,,,,2.0149030205422647,,,,,,,,2.302585092994046,,,,,1.3862943611198906,,,2.302585092994046,1.9459101490553132,0.0,0.6931471805599453,,2.70805020110221,1.6094379124341003,1.791759469228055,,2.0149030205422647,2.0149030205422647,,,,,,,,
5843,2000,Peten,,2.995732273553991,2.302585092994046,3.7376696182833684,,,1.0986122886681098,3.1135153092103742,,3.4011973816621555,,,1.6094379124341003,,2.0149030205422647,1.0986122886681098,,1.3862943611198906,3.332204510175204,,0.6931471805599453,,,2.5649493574615367,1.791759469228055,,,,2.995732273553991,,,1.791759469228055,0.6931471805599453,,0.9162907318741551,2.1972245773362196,,,,2.772588722239781,0.6931471805599453,,,,,,1.6094379124341003,,3.4657359027997265,,,1.0986122886681098,,3.591817720334166,,1.6094379124341003,,,,3.258096538021482,2.1972245773362196,,0.9162907318741551,1.6094379124341003,,,,,,,1.791759469228055,,1.6094379124341003,3.258096538021482,2.6390573296152584,1.791759469228055,,2.4849066497880004,1.4350844798131313,,0.0,0.0,2.0794415416798357,,2.9444389791664403,4.02535169073515,,,2.0794415416798357,,1.9459101490553132,,2.302585092994046,,1.791759469228055,,
