,i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize,Rural,total,under_4,frac_under_4,under_9,frac_under_9
864,865,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,1,2,0,0.0,0,0.0
895,896,2000,Metropolitana,0,0,0,0,0,1,2,0,0,0,1,1,0,0,1.609437912,1,5,0,0.0,0,0.0
896,897,2000,Metropolitana,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289,1,3,1,0.3333333333333333,1,0.3333333333333333
897,898,2000,Metropolitana,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1.609437912,1,5,0,0.0,1,0.2
898,899,2000,Metropolitana,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1.791759469,1,6,0,0.0,2,0.3333333333333333
899,900,2000,Metropolitana,0,1,2,1,0,0,0,0,1,1,0,0,0,0,1.791759469,1,6,1,0.16666666666666666,4,0.6666666666666666
900,901,2000,Metropolitana,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1.098612289,1,3,0,0.0,0,0.0
901,902,2000,Metropolitana,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1.609437912,1,5,0,0.0,2,0.4
902,903,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.386294361,1,4,0,0.0,0,0.0
903,904,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.098612289,1,3,0,0.0,0,0.0
904,905,2000,Metropolitana,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1.609437912,1,5,1,0.2,2,0.4
905,906,2000,Metropolitana,0,0,1,1,1,1,1,1,2,1,0,1,1,0,2.397895273,1,11,0,0.0,2,0.18181818181818182
906,907,2000,Metropolitana,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.098612289,1,3,1,0.3333333333333333,1,0.3333333333333333
