i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize,Rural
188,2000,Metropolitana,1,1,0,0,0,0,0,0,1,2,0,0,1,0,1.791759469,0
189,2000,Metropolitana,0,0,0,0,0,0,1,0,1,2,0,1,0,0,1.609437912,0
190,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1.098612289,0
191,2000,Metropolitana,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1.609437912,0
192,2000,Metropolitana,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1.609437912,0
193,2000,Metropolitana,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1.609437912,0
194,2000,Metropolitana,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1.386294361,0
195,2000,Metropolitana,0,0,0,0,0,1,2,0,0,0,1,1,0,0,1.609437912,0
196,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.6931471806,0
197,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6931471806,0
198,2000,Metropolitana,0,0,0,0,1,1,2,0,0,0,1,0,0,0,1.609437912,0
199,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
200,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1.098612289,0
201,2000,Metropolitana,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1.609437912,0
202,2000,Metropolitana,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1.609437912,0
203,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806,0
204,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
205,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,0
206,2000,Metropolitana,0,2,0,0,0,0,0,0,0,1,1,0,1,0,1.609437912,0
207,2000,Metropolitana,0,1,0,1,1,0,1,1,0,1,1,1,2,1,2.397895273,0
208,2000,Metropolitana,0,0,0,0,1,0,1,0,0,2,1,1,0,0,1.791759469,0
209,2000,Metropolitana,1,0,2,1,0,0,0,0,0,1,2,1,0,0,2.079441542,0
210,2000,Metropolitana,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.098612289,0
211,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.6931471806,0
212,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1.098612289,0
213,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
214,2000,Metropolitana,0,0,0,0,1,0,0,1,2,1,0,1,0,0,1.791759469,0
215,2000,Metropolitana,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1.386294361,0
216,2000,Metropolitana,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1.609437912,0
217,2000,Metropolitana,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.6931471806,0
218,2000,Metropolitana,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.6931471806,0
219,2000,Metropolitana,0,1,0,1,2,2,1,0,0,0,1,2,0,0,2.302585093,0
220,2000,Metropolitana,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1.609437912,0
221,2000,Metropolitana,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806,0
222,2000,Metropolitana,1,0,0,0,0,0,0,0,0,1,2,0,0,1,1.609437912,0
223,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
224,2000,Metropolitana,0,0,1,1,0,1,1,1,0,1,1,1,0,0,2.079441542,0
225,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.098612289,0
226,2000,Metropolitana,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1.791759469,0
227,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806,0
228,2000,Metropolitana,0,0,1,0,2,1,0,0,0,0,1,1,0,0,1.791759469,0
229,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
230,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1.386294361,0
231,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1.386294361,0
232,2000,Metropolitana,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1.609437912,0
233,2000,Metropolitana,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1.609437912,0
234,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1.386294361,0
235,2000,Metropolitana,1,0,0,2,0,0,0,0,0,0,1,2,1,1,2.079441542,0
236,2000,Metropolitana,1,0,0,1,0,0,0,0,2,1,0,1,1,0,1.945910149,0
237,2000,Metropolitana,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1.098612289,0
238,2000,Metropolitana,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1.791759469,0
239,2000,Metropolitana,0,1,0,1,0,0,1,0,0,2,0,1,0,0,1.791759469,0
240,2000,Metropolitana,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1.098612289,0
241,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
242,2000,Metropolitana,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1.609437912,0
243,2000,Metropolitana,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1.386294361,0
244,2000,Metropolitana,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1.098612289,0
245,2000,Metropolitana,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1.386294361,0
246,2000,Metropolitana,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1.791759469,0
247,2000,Metropolitana,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.6931471806,0
248,2000,Metropolitana,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1.098612289,0
249,2000,Metropolitana,0,0,0,0,0,2,1,1,0,0,1,1,0,0,1.791759469,0
250,2000,Metropolitana,0,0,0,0,1,0,1,0,0,0,0,0,1,2,1.609437912,0
251,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806,0
252,2000,Metropolitana,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289,0
253,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
254,2000,Metropolitana,1,0,1,0,0,0,0,0,0,0,0,1,0,2,1.609437912,0
255,2000,Metropolitana,0,1,0,1,0,0,0,0,2,2,1,0,0,0,1.945910149,0
256,2000,Metropolitana,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1.098612289,0
257,2000,Metropolitana,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289,0
258,2000,Metropolitana,0,1,1,1,0,0,1,1,1,2,1,1,0,0,2.302585093,0
259,2000,Metropolitana,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1.609437912,0
260,2000,Metropolitana,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1.386294361,0
261,2000,Metropolitana,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1.791759469,0
262,2000,Metropolitana,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.6931471806,0
263,2000,Metropolitana,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1.386294361,0
264,2000,Metropolitana,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1.609437912,0
265,2000,Metropolitana,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1.098612289,0
266,2000,Metropolitana,0,0,0,0,0,1,1,1,2,0,1,1,0,0,1.945910149,0
267,2000,Metropolitana,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1.386294361,0
268,2000,Metropolitana,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1.609437912,0
269,2000,Metropolitana,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.6931471806,0
270,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
271,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.098612289,0
272,2000,Metropolitana,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1.386294361,0
273,2000,Metropolitana,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1.609437912,0
274,2000,Metropolitana,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1.098612289,0
275,2000,Metropolitana,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1.791759469,0
276,2000,Metropolitana,1,1,0,2,1,0,0,0,0,0,0,1,0,0,1.791759469,0
277,2000,Metropolitana,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806,0
278,2000,Metropolitana,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
279,2000,Metropolitana,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1.609437912,0
280,2000,Metropolitana,0,1,0,2,1,1,0,0,0,0,0,1,1,0,1.945910149,0
281,2000,Metropolitana,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1.386294361,0
282,2000,Metropolitana,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1.386294361,0
