i,t,m,Avocado,Bananas,Beans,Beef,Beef Entrails,Beer,Beets,Bread (french),Bread (sliced),Bread (sweet),Brown Sugar,Butter,Cabbages,Cakes,Candies,Carrots,Celery,Chayote,Chicken,Chicken Giblets,Chilies,Chocolate,Cigarettes,Coffee (instant),Cookies,Cooking Oil,Corn Atole,Corn Dough (fresh(,Corn Flakes,Corn Tamales,Cornmeal,Crema Fresca,Cucumbers,Dried Fruit,Dried Seeds,Eggs,Fish (Canned),Fish (Fresh),Garlic,Granulated Sugar,Herbs,"Honey, Molasses",Ice Cream,Incaparina,Infant Formula,Jam,Juice (Branded),Juices (Packaged),Lard,Leafcutter Ants and Other Insect,Lemons,Lettuce,Liquor,Maize,Mangos,Margarine,Melons,Milk,Milk (condensed),Milk (powdered),Mineral Water,Mushrooms,Onions,Oranges,Other,Other Atoles,Other Canned Goods,Other Sauces,Paches,Papaya,Pasta,Peas,Pineapples,Pork,Pork (cracklings),Potatoes,Pumpkin,Queso,Rice,Rolled Oats,Rural,Salt,Sausages,Soup,Spices,Sweets,Tea,Tomato Sauce,Tomatoes,Tortillas,Tostadas,Vegetable Oil,Water (bottle),Watermelon,Wheat Flour,Yogurt,Yucca
22,2000,Metropolitana,,0.6931471805599453,,,,,,,,1.252762968495368,,,,2.70805020110221,,,,,,,,,,3.258096538021482,,2.0149030205422647,,,3.1780538303479458,,,,,,,0.5877866382354521,,,,0.4054651081081644,,,1.252762968495368,,,,,,,,0.0,0.0,,,,,,,,,3.2188758248682006,,1.3862943611198906,,,,,,,,,,,,,,,,,,,,2.1400661634962708,,,2.4203681286504293,,,0.0,1.3862943611198906,,,,,,,
23,2000,Metropolitana,2.1972245773362196,3.2188758248682006,2.8903717578961645,5.043425116919247,2.1972245773362196,4.189654742026425,,2.995732273553991,,2.70805020110221,,,,,2.0149030205422647,0.6931471805599453,,,3.624340932976365,,,,,,1.6094379124341003,1.9810014688665833,,0.0,3.4011973816621555,2.3513752571634776,,2.0794415416798357,1.6094379124341003,,2.302585092994046,2.70805020110221,,,,3.7495040759303713,2.4849066497880004,,,1.6094379124341003,4.248495242049359,,1.3862943611198906,,,,1.8325814637483102,,,,,,,2.3978952727983707,,,4.499809670330265,,1.791759469228055,,,,,,,,2.169053700369523,,,,,,,,2.3513752571634776,1.5040773967762742,,-0.6931471805599453,2.302585092994046,2.0794415416798357,,,,,2.4849066497880004,4.499809670330265,,,2.995732273553991,,,3.58351893845611,0.0
24,2000,Metropolitana,0.6931471805599453,2.302585092994046,1.6094379124341003,3.044522437723423,,,,1.3862943611198906,,2.302585092994046,,,,,0.6931471805599453,0.6931471805599453,-0.2876820724517809,0.6931471805599453,2.8903717578961645,0.9162907318741551,1.3862943611198906,,,1.0986122886681098,1.9459101490553132,,,2.0794415416798357,,,,1.1786549963416462,1.3862943611198906,,,,,,0.0,3.2386784521643803,0.9162907318741551,,,,,,0.6931471805599453,,,,0.4054651081081644,1.0986122886681098,,,,0.9162907318741551,,3.139832633977964,,4.0163830207523885,2.4849066497880004,,1.3862943611198906,1.3862943611198906,,,,,,2.4849066497880004,1.6094379124341003,,0.6931471805599453,,0.9162907318741551,1.791759469228055,,0.6931471805599453,2.302585092994046,,,0.0,0.8754687769372326,1.3862943611198906,,1.791759469228055,,,0.9162907318741551,1.3862943611198906,1.0986122886681098,,,,,,0.0
25,2000,Metropolitana,1.6094379124341003,2.772588722239781,1.9095425048844386,4.653960350157523,,,,3.478158470020505,,3.0726933322827117,,,,,,1.0986122886681098,0.0,0.0,3.4011973816621555,,0.6931471805599453,,,,,,,,,1.791759469228055,,1.8718021769015913,0.4054651081081644,,1.3862943611198906,2.277267285009756,,,0.4054651081081644,2.169053700369523,-0.2876820724517809,,,,,2.1400661634962708,1.6094379124341003,,,,0.6931471805599453,,,,,,,,,,3.1135153092103742,,,0.9162907318741551,,2.772588722239781,,,,,1.3862943611198906,,0.9162907318741551,3.1780538303479458,,0.8109302162163288,,,1.6094379124341003,,,,2.8903717578961645,,,,,1.3862943611198906,2.0149030205422647,2.70805020110221,,,2.302585092994046,,,,
26,2000,Metropolitana,1.791759469228055,3.1354942159291497,2.5257286443082556,3.6375861597263857,,3.58351893845611,,3.8066624897703196,,3.8066624897703196,,,,,,0.0,,,3.871201010907891,,,,,,,,,,2.8903717578961645,,,,0.0,,1.791759469228055,3.044522437723423,2.0149030205422647,,1.5040773967762742,,0.6931471805599453,,2.2512917986064953,,,2.1400661634962708,2.1972245773362196,2.70805020110221,,,1.3862943611198906,,,,,1.7047480922384253,,3.6888794541139363,,,3.912023005428146,,0.9162907318741551,,,,,0.6931471805599453,,,1.3862943611198906,,,3.58351893845611,,1.3217558399823195,,,2.0149030205422647,,,,3.5409593240373143,0.6931471805599453,,2.302585092994046,,1.9095425048844386,2.0794415416798357,1.9459101490553132,2.0794415416798357,,,,,,
27,2000,Metropolitana,2.302585092994046,2.833213344056216,2.4203681286504293,5.356586274672012,,,,3.518980417318539,,1.7047480922384253,,,,,,2.0794415416798357,,1.0986122886681098,4.029806041084529,,,,,,,,,,,,,,0.6931471805599453,,,2.8903717578961645,,,,,,,,,,,,,,,1.0986122886681098,,,,,,,3.6635616461296463,,,2.70805020110221,,0.9162907318741551,,,,,,2.4849066497880004,1.6094379124341003,,,1.791759469228055,2.4849066497880004,,1.3862943611198906,,2.803360380906535,,,,,,,,,,,2.5257286443082556,2.70805020110221,,,2.302585092994046,,,,
28,2000,Metropolitana,1.6094379124341003,,1.5040773967762742,4.454347296253507,2.302585092994046,,0.4054651081081644,3.4011973816621555,,2.772588722239781,,,0.9162907318741551,,,0.6931471805599453,-0.2876820724517809,,3.1135153092103742,1.0986122886681098,0.4054651081081644,,,,,,,,,,0.8109302162163288,1.8718021769015913,0.4054651081081644,,,1.9740809994942317,,,0.4054651081081644,2.169053700369523,-0.2876820724517809,,,,,,1.0986122886681098,,1.9459101490553132,,0.4054651081081644,,,,,,,3.1135153092103742,,,2.0149030205422647,,0.22314355131420976,,,2.0794415416798357,,,1.791759469228055,1.6094379124341003,1.5993875379947398,,1.0986122886681098,4.430816798843313,2.0794415416798357,0.4054651081081644,,,1.7316555619725087,1.5040773967762742,,,2.70805020110221,,,,1.3217558399823195,,1.3862943611198906,3.4011973816621555,,,2.302585092994046,,,,0.4054651081081644
29,2000,Metropolitana,2.995732273553991,3.9512437185814275,1.0116009116784799,3.6888794541139363,,,,3.4011973816621555,2.302585092994046,2.8622008809294686,,,,0.9162907318741551,,1.5040773967762742,,,2.8903717578961645,,1.1786549963416462,,3.960813169597578,3.133317969622022,,1.5040773967762742,,,2.833213344056216,0.6931471805599453,,3.332204510175204,2.4849066497880004,,,1.9459101490553132,2.1972245773362196,3.6635616461296463,,1.3862943611198906,0.0,,4.2520603082138555,,,,3.4011973816621555,1.0116009116784799,,,1.7749523670133687,2.0794415416798357,,,,2.3978952727983707,1.252762968495368,2.772588722239781,1.0986122886681098,4.31748811353631,4.617592705986649,,1.791759469228055,2.0149030205422647,1.8870696346384404,,,,,,,,0.6931471805599453,,,1.6094379124341003,,,0.3715635895359307,,,-0.3566749609387326,3.1780538303479458,0.5596157879354227,,2.70805020110221,,1.0116009116784799,3.367295829986474,0.6931471805599453,1.0986122886681098,,3.6888794541139363,1.7047480922384253,,3.091042453358316,
30,2000,Metropolitana,3.2188758248682006,2.995732273553991,,5.655991810819852,,2.302585092994046,,3.8066624897703196,,2.70805020110221,,,,4.212127597878484,,1.3862943611198906,1.0986122886681098,1.252762968495368,4.31748811353631,,2.4849066497880004,,,3.332204510175204,1.8718021769015913,,,,,,,2.995732273553991,0.8109302162163288,,,3.360375360753011,,,0.6931471805599453,3.657130755799356,0.6931471805599453,,,3.044522437723423,,,,3.2188758248682006,,,1.6094379124341003,,,,,2.169053700369523,,3.1135153092103742,,,3.912023005428146,,2.5257286443082556,2.302585092994046,,2.772588722239781,,,,,1.6582280766035324,,0.9162907318741551,,,2.70805020110221,,1.791759469228055,2.0149030205422647,,,0.0,4.0943445622221,3.258096538021482,1.6094379124341003,2.772588722239781,2.995732273553991,,3.044522437723423,3.1135153092103742,1.8718021769015913,,4.0943445622221,,,,
31,2000,Metropolitana,,2.8903717578961645,1.6094379124341003,4.02535169073515,,,,3.4011973816621555,,3.4011973816621555,,,,,,0.0,,0.6931471805599453,3.4657359027997265,,,,,1.5040773967762742,1.791759469228055,1.6094379124341003,,,,,,,,,,1.791759469228055,,,,2.169053700369523,0.0,,0.6931471805599453,3.332204510175204,,,,2.302585092994046,,,,,,,,0.22314355131420976,,,,2.70805020110221,2.302585092994046,,0.4054651081081644,,,,,,,,0.6418538735408157,,,,,1.0986122886681098,,1.791759469228055,,,,,,0.9162907318741551,0.6931471805599453,,,1.5040773967762742,1.791759469228055,3.1135153092103742,,,2.302585092994046,,,,
